State_ID,Config_ID,Workload,RP,norm_rew
1,0,0,1910.24,0.2729307677709856
2,0,1,1893.58,0.2705356167298281
3,0,2,3662.79,0.524888868442088
4,1,0,1412.59,0.2013853346598195
5,1,1,3046.85,0.4363372878724273
6,1,2,5153.99,0.7392735762796662
7,2,0,2868.97,0.4107640905614372
8,2,1,6121.72,0.8784007981919917
9,2,2,5000.0,0.7171349623044055
10,3,0,2499.96,0.3577127888989206
11,3,1,3610.87,0.5174245081745672
12,3,2,6967.53,1.0
13,4,0,1896.84,0.2710042957450846
14,4,1,2053.22,0.2934865118204873
15,4,2,4065.17,0.5827376605153745
16,5,0,1462.47,0.2085564111263823
17,5,1,1605.48,0.2291164681729569
18,5,2,3014.89,0.4317425083240844
19,6,0,2445.28,0.3498516329006919
20,6,1,4382.25,0.6283231642446792
21,6,2,6662.06,0.9560836261379124
22,7,0,1289.35,0.1836675426842944
23,7,1,1857.12,0.2652938876205483
24,7,2,2806.99,0.4018534386087997
25,8,0,2543.8,0.364015515288137
26,8,1,2763.35,0.3955794655334027
27,8,2,3863.54,0.5537500071883286
28,9,0,1600.0,0.2283286273743049
29,9,1,2314.96,0.3311159736159593
30,9,2,4379.8,0.6279709361503913
31,10,0,1604.67,0.2290000172519883
32,10,1,2132.87,0.3049375190490704
33,10,2,3601.57,0.5160874790819643
34,11,0,1100.0,0.1564453428257607
35,11,1,2793.48,0.399911152260298
36,11,2,3814.9,0.5467572012674461
37,12,0,1628.55,0.2324331629220268
38,12,1,1911.58,0.2731234149735757
39,12,2,3131.54,0.4485128786092597
40,13,0,1168.39,0.1662775384863105
41,13,1,1446.16,0.2062115783844088
42,13,2,2600.0,0.3720951964713934
43,14,0,2930.81,0.4196546151944011
44,14,1,2696.34,0.3859456677382069
45,14,2,4463.48,0.6400013226524356
46,15,0,1899.4,0.2713723381619732
47,15,1,2714.23,0.3885176516593538
48,15,2,3877.6,0.5557713651498336
49,16,0,1615.4,0.2305426325384001
50,16,1,1626.96,0.2322045740771624
51,16,2,2632.26,0.3767331059904655
52,17,0,748.13,0.1058582001575681
53,17,1,1255.1,0.178743537692719
54,17,2,2731.86,0.3910522562725355
55,18,0,1723.65,0.2461053636431599
56,18,1,2204.55,0.3152427067219497
57,18,2,3160.89,0.4527324274122593
58,19,0,1097.42,0.1560744250774902
59,19,1,1640.8,0.2341943033934661
60,19,2,3171.68,0.4542836686928169
61,20,0,2191.97,0.3134341232827083
